state,name,land_area_sqmi,land_area_sqft,water_area_sqmi
AK,Venetie CDP,23.008,641426227,0.000
AK,Wainwright city,10.314,287537818,17.721
AK,Wales city,2.239,62419738,0.064
AK,Wasilla city,12.380,345134592,0.750
AK,Whale Pass city,19.856,553553510,8.151
AK,White Mountain city,1.804,50292634,0.243
AK,Whitestone CDP,7.133,198856627,0.000
AK,Whitestone Logging Camp CDP,10.960,305547264,0.232
AK,Whittier city,12.264,341900698,7.375
AK,Willow CDP,690.400,19247247360,8.168
AK,Willow Creek CDP,36.952,1030162637,0.849
AK,Wiseman CDP,78.014,2174905498,0.020
AK,Womens Bay CDP,43.922,1224475085,0.120
AK,Wrangell city and borough,2556.105,71260117632,915.029
AK,Yakutat CDP,100.357,2797792589,3.374
AL,Abanda CDP,2.998,83579443,0.013
AL,Abbeville city,15.543,433313971,0.042
AL,Adamsville city,26.215,730832256,0.209
AL,Addison town,3.766,104990054,0.032
AL,Akron town,0.686,19124582,0.005
AL,Alabaster city,26.260,732086784,0.317
AL,Albertville city,26.972,751936205,0.094
AL,Alexander City city,46.050,1283800320,0.290
AL,Alexandria CDP,11.135,310425984,0.011
AL,Aliceville city,4.570,127404288,0.000
AL,Allgood town,1.093,30471091,0.001
AL,Altoona town,4.602,128296397,0.010
AL,Andalusia city,19.814,552382618,0.157
AL,Anderson town,1.292,36018893,0.001
AL,Anniston city,45.850,1278224640,0.070
AL,Arab city,13.326,371507558,0.133
AL,Ardmore town,2.043,56955571,0.008
AL,Argo city,10.973,305909683,0.057
AL,Ariton town,5.090,141901056,0.000
AL,Arley town,3.896,108614246,0.013
AL,Ashford city,6.202,172901837,0.022
AL,Ashland town,7.346,204794726,0.033
AL,Ashville city,19.214,535655578,0.188
AL,Athens city,41.879,1167519514,0.289
AL,Atmore city,21.862,609477581,0.075
AL,Attalla city,6.999,195120922,0.000
AL,Auburn city,64.112,1787339981,1.036
AL,Autaugaville town,7.833,218371507,0.205
AL,Avon town,2.363,65876659,0.007
AL,Axis CDP,3.495,97435008,0.010
AL,Babbie town,11.471,319793126,0.117
AL,Baileyton town,5.255,146500992,0.060
AL,Bakerhill town,2.751,76693478,0.000
AL,Ballplay CDP,23.551,656564198,0.187
AL,Banks town,1.987,55394381,0.000
AL,Bay Minette city,18.247,508697165,0.076
AL,Bayou La Batre city,7.502,209143757,0.143
AL,Bear Creek town,13.627,379898957,0.135
AL,Beatrice town,1.353,37719475,0.000
AL,Beaverton town,4.588,127906099,0.000
AL,Belgreen CDP,1.228,34234675,0.006
AL,Belk town,1.386,38639462,0.000
AL,Bellamy CDP,3.776,105268838,0.042
AL,Belle Fontaine CDP,1.553,43295155,0.363
AL,Benton town,0.302,8419277,0.035
AL,Berlin town,1.470,40981248,0.004
AL,Berry town,10.766,300138854,0.006
AL,Bessemer city,40.653,1133340595,0.212
AL,Billingsley town,1.175,32757120,0.002
AL,Birmingham city,146.950,4096730880,2.514
AL,Black town,4.054,113019034,0.007
AL,Blountsville town,5.421,151128806,0.069
AL,Blue Ridge CDP,7.760,216336384,0.089
AL,Blue Springs town,2.896,80735846,0.000
AL,Boaz city,14.553,405714355,0.060
AL,Boligee town,3.951,110147558,0.014
AL,Bon Air town,1.327,36994637,0.006
AL,Bon Secour CDP,4.321,120462566,0.332
AL,Boykin CDP,2.795,77920128,0.012
AL,Brantley town,3.107,86618189,0.051
AL,Brantleyville CDP,2.196,61220966,0.010
AL,Brent city,8.801,245357798,0.030
AL,Brewton city,11.296,314914406,0.236
AL,Bridgeport city,4.328,120657715,0.129
AL,Brighton city,1.415,39447936,0.000
AL,Brilliant town,10.591,295260134,0.000
AL,Bristow Cove CDP,10.843,302285491,0.000
AL,Brook Highland CDP,2.754,76777114,0.062
AL,Brookside town,6.638,185056819,0.011
AL,Brookwood city,8.371,233370086,0.090
AL,Broomtown CDP,4.694,130861210,0.000
AL,Brundidge city,9.746,271702886,0.032
AL,Bucks CDP,0.387,10788941,0.036
AL,Butler town,6.751,188207078,0.000
AL,Calera city,24.320,678002688,0.261
AL,Calvert CDP,2.338,65179699,0.019
AL,Camden city,4.184,116643226,0.013
AL,Camp Hill town,8.990,250626816,0.099
AL,Carbon Hill city,5.511,153637862,0.075
AL,Cardiff town,0.209,5826586,0.000
AL,Carlisle-Rockledge CDP,16.200,451630080,0.005
AL,Carlton CDP,4.520,126010368,0.005
AL,Carolina town,1.109,30917146,0.008
AL,Carrollton town,2.058,57373747,0.023
AL,Castleberry town,1.711,47699942,0.019
AL,Catherine CDP,2.295,63980928,0.000
AL,Cedar Bluff town,4.814,134206618,0.015
AL,Center Point city,6.215,173264256,0.008
AL,Centre city,11.703,326260915,0.054
AL,Centreville city,9.451,263478758,0.146
AL,Chatom town,10.722,298912205,0.000
AL,Chelsea city,32.714,912013978,0.466
AL,Cherokee Ridge town,0.885,24672384,0.034
AL,Cherokee town,2.216,61778534,0.000
AL,Chickasaw city,4.202,117145037,0.352
AL,Childersburg city,12.331,343768550,0.252
AL,Choccolocco CDP,11.646,324671846,0.136
AL,Chunchula CDP,1.804,50292634,0.008
AL,Citronelle city,25.885,721632384,0.274
AL,Clanton city,23.155,645524352,0.138
AL,Clay city,11.276,314356838,0.064
AL,Clayhatchee town,2.718,75773491,0.000
AL,Clayton city,6.776,188904038,0.000
AL,Cleveland town,7.850,218845440,0.034
AL,Clio city,10.066,280623974,0.009
AL,Coaling city,5.013,139754419,0.069
AL,Coats Bend CDP,8.550,238360320,0.026
AL,Coffee Springs town,0.784,21856666,0.011
AL,Coffeeville town,4.520,126010368,0.000
AL,Coker town,1.950,54362880,0.009
AL,Collinsville city,3.345,93253248,0.062
AL,Colony town,2.162,60273101,0.009
AL,Columbia town,3.931,109589990,0.066
AL,Columbiana city,18.260,509059584,0.102
AL,Concord CDP,3.365,93810816,0.017
AL,Coosada town,6.894,192193690,0.240
AL,Cordova town,5.831,162558950,0.113
AL,Cottondale CDP,3.444,96013210,0.018
AL,Cottonwood town,5.782,161192909,0.023
AL,County Line town,0.781,21773030,0.000
AL,Courtland town,2.952,82297037,0.025
AL,Cowarts town,7.654,213381274,0.064
AL,Creola town,15.699,437663002,0.972
AL,Crossville town,8.363,233147059,0.001
AL,Cuba town,4.062,113242061,0.007
AL,Cullman city,22.887,638052941,1.337
AL,Cullomburg CDP,5.345,149010048,0.000
AL,Cusseta town,2.625,73180800,0.000
AL,Dadeville city,15.941,444409574,0.085
AL,Daleville city,14.144,394312090,0.000
AL,Daphne city,20.562,573235661,0.131
AL,Dauphin Island town,6.257,174435149,159.693
AL,Daviston town,9.135,254669184,0.030
AL,Dayton town,0.998,27822643,0.000
AL,Deatsville town,4.812,134150861,0.031
AL,Decatur city,54.577,1521519437,6.424
AL,Deer Park CDP,3.125,87120000,0.062
AL,Delta CDP,7.787,217089101,0.105
AL,Demopolis city,17.744,494674330,0.322
AL,Detroit town,1.326,36966758,0.000
AL,Dodge City town,3.451,96208358,0.010
AL,Dora city,7.909,220490266,0.011
AL,Dothan city,90.408,2520430387,0.326
AL,Double Springs town,5.118,142681651,0.022
AL,Douglas town,3.405,94925952,0.008
AL,Dozier town,2.950,82241280,0.012
AL,Dunnavant CDP,19.256,536826470,1.019
AL,Dutton town,0.864,24086938,0.000
AL,Eagle Point CDP,2.210,61611264,0.044
AL,East Brewton city,3.408,95009587,0.035
AL,East Point CDP,0.919,25620250,0.007
AL,Eclectic town,4.112,114635981,0.077
AL,Edgewater CDP,1.160,32338944,0.024
AL,Edwardsville town,16.447,458516045,0.000
AL,Egypt CDP,9.010,251184384,0.000
AL,Elba city,15.338,427598899,0.080
AL,Elberta town,7.038,196208179,0.102
AL,Eldridge town,1.443,40228531,0.000
AL,Elkmont town,1.643,45804211,0.011
AL,Elmore town,6.274,174909082,0.140
AL,Emelle town,0.211,5882342,0.000
AL,Emerald Mountain CDP,16.090,448563456,0.659
AL,Enterprise city,31.363,874350259,0.067
AL,Epes town,6.586,183607142,0.011
AL,Equality CDP,5.253,146445235,0.009
AL,Ethelsville town,0.567,15807053,0.000
AL,Eufaula city,59.515,1659182976,13.960
AL,Eunola CDP,1.826,50905958,0.014
AL,Eutaw city,11.933,332672947,0.076
AL,Eva town,4.271,119068646,0.032
AL,Evergreen city,19.747,550514765,0.266
AL,Excel town,1.647,45915725,0.000
AL,Fairfield city,3.464,96570778,0.000
AL,Fairford CDP,3.071,85614566,0.000
AL,Fairhope city,14.951,416809958,0.060
AL,Fairview town,1.961,54669542,0.013
AL,Falkville town,4.263,118845619,0.025
AL,Faunsdale town,0.277,7722317,0.000
AL,Fayette city,8.550,238360320,0.082
AL,Fayetteville CDP,17.443,486282931,2.330
AL,Fitzpatrick CDP,4.162,116029901,0.035
AL,Five Points town,1.030,28714752,0.000
AL,Flomaton town,5.085,141761664,0.112
AL,Florala town,10.532,293615309,0.447
AL,Florence city,27.087,755142221,0.209
AL,Foley city,35.295,983968128,0.148
AL,Forestdale CDP,6.718,187287091,0.000
AL,Forkland town,3.494,97407130,0.011
AL,Fort Deposit town,5.661,157819622,0.000
AL,Fort Novosel CDP,10.864,302870938,0.018
AL,Fort Payne city,56.406,1572509030,0.354
AL,Franklin town,15.075,420266880,0.039
AL,Fredonia CDP,11.984,334094746,0.021
AL,Frisco City town,4.029,112322074,0.010
AL,Fruitdale CDP,4.474,124727962,0.017
AL,Fruithurst town,1.000,27878400,0.000
AL,Fulton town,2.451,68329958,0.001
AL,Fultondale city,12.136,338332262,0.000
AL,Fyffe town,4.967,138472013,0.000
AL,Gadsden city,37.443,1043850931,1.214
AL,Gainesville town,1.719,47922970,0.000
AL,Gallant CDP,14.381,400919270,0.050
AL,Gantt town,0.650,18120960,0.033
AL,Garden City town,2.258,62949427,0.026
AL,Gardendale city,23.094,643823770,0.003
AL,Gaylesville town,1.387,38667341,0.037
